date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:15	35544/35544	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:33:15%20GMT	http://www.radprocalculator.com/	E:/My%20Web/2/www.radprocalculator.com/index.html	(from http://www.radprocalculator.com/js/stmenu.js)
19:33:16	60740/60740	---M--	200	added ('OK')	application/pdf	etag:%2213407399ed3fd41:0%22	http://www.radprocalculator.com/Files/ProbabilityPlot.pdf	E:/My%20Web/2/www.radprocalculator.com/Files/ProbabilityPlot.pdf	(from http://www.radprocalculator.com/Decay.aspx)
19:33:16	165/165	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_254-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR935d.png	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:17	15002/15002	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_252-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR99a2.png	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:17	78/78	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_253-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR475e.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:18	86/86	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_255-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR2e5c.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:19	812/812	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_240-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR5ad6.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:20	812/812	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_239-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR6cc6.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:21	814/814	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_238-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR84b8.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:22	814/814	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_237-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR93cc.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:23	816/816	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_229-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXRddcd.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:24	815/815	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_234-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXRc1d4.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:25	816/816	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_232-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR019a.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:26	815/815	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_233-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR5328.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:27	814/814	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_230-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR7d52.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:28	814/814	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_231-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR4b41.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:29	818/818	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_235-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR8d8d.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:30	818/818	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_236-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR6d05.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:31	95/95	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_249-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR92ab.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
19:33:32	67/67	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Mar%202019%2012:29:10%20GMT	http://www.radprocalculator.com/DXR.axd?r=1_245-mJSri	E:/My%20Web/2/www.radprocalculator.com/DXR0904.gif	(from http://www.radprocalculator.com/DXR.axd?r=1_66,1_67,1_68,1_283,1_280-mJSri)
